,strategy,stoploss,takeprofit,nPCs,Accuracy,nTrades,AverageDurationInMin
0,Bullish,0.02,0.03,95,0.3328699949805012,25899,1459.5930344800959
0,Bullish,0.02,0.03,110,0.42383533402055,30073,1603.5904299537792
0,Bullish,0.02,0.04,10,0.42676864244741874,15690,2121.2686424474186
0,Bullish,0.02,0.04,25,0.3304317996655375,23321,1995.4152909394966
0,Bullish,0.02,0.04,40,0.4001336005344021,17964,2171.67807837898
0,Bullish,0.02,0.04,65,0.32634744390469583,21615,2117.799676150821
0,Bullish,0.02,0.04,80,0.4205834683954619,14808,2011.3958670988654
0,Bullish,0.02,0.04,95,0.3101017530955008,16314,2077.3479833272036
0,Bullish,0.02,0.04,110,0.35947077291074897,13378,2530.947077291075
0,Bullish,0.02,0.05,10,0.3257705186906308,14633,2762.0880885669376
0,Bullish,0.02,0.05,25,0.3505005005005005,19980,2771.1498998999
0,Bullish,0.02,0.05,40,0.3676684593483075,15805,2514.820310028472
0,Bullish,0.02,0.05,65,0.3241275255838363,15244,2317.3051692469166
0,Bullish,0.02,0.05,80,0.35164567743505504,16437,3171.973291963254
0,Bullish,0.02,0.05,95,0.26168489842307147,21117,2272.740682862149
0,Bullish,0.02,0.05,110,0.2845354523227384,9816,2408.0582722086388
0,Bullish,0.03,0.01,10,0.7721464503806527,74346,799.4116025071961
0,Bullish,0.03,0.01,25,0.7528590364045498,64882,827.4374248635985
0,Bullish,0.03,0.01,40,0.7638543029586797,71079,852.2010017023312
0,Bullish,0.03,0.01,65,0.7760133821814369,84889,783.1038179269399
0,Bullish,0.03,0.01,80,0.7451298107966521,82081,855.0280211011075
0,Bullish,0.03,0.01,95,0.7555269253436767,72961,827.4161538356108
0,Bullish,0.03,0.01,110,0.7520616856341745,72756,830.3207982846776
0,Bullish,0.03,0.02,10,0.6612740566434154,47596,1610.4411084965122
0,Bullish,0.03,0.02,25,0.6127243132447803,49763,1533.7430420191708
0,Bullish,0.03,0.02,40,0.6097015073187158,50487,1607.279794798661
0,Bullish,0.03,0.02,65,0.5850293204553294,52182,1705.7616611091948
0,Bullish,0.03,0.02,80,0.5907948600420427,63269,1547.0941535349066
0,Bullish,0.03,0.02,95,0.5615689077016107,72764,1559.1585811665109
0,Bullish,0.03,0.02,110,0.571570299178422,64510,1624.923810261975
0,Bullish,0.03,0.03,10,0.5963442201262764,25658,2289.4894379920493
0,Bullish,0.03,0.03,25,0.5162544813757064,32914,2362.1320714589538
0,Bullish,0.03,0.03,40,0.5206445115810675,33762,2210.6220010662873
0,Bullish,0.03,0.03,65,0.55694609682438,43708,2257.1731719593668
0,Bullish,0.03,0.03,80,0.5502398034008482,50458,2153.9282175274484
0,Bullish,0.03,0.03,95,0.5407980247373693,42931,2277.763038363886
0,Bullish,0.03,0.03,110,0.5194453735518594,32887,2188.162799890534
0,Bullish,0.03,0.04,10,0.5478668862442905,32183,2989.2698008265234
0,Bullish,0.03,0.04,25,0.45306871954234057,28318,2787.838653859736
0,Bullish,0.03,0.04,40,0.4593413978494624,26784,2812.797379032258
0,Bullish,0.03,0.04,65,0.5226989791683957,36147,2740.4953384789887
0,Bullish,0.03,0.04,80,0.5129035054764037,34603,3181.8612548044966
0,Bullish,0.03,0.04,95,0.5148496855574539,27509,3552.3726780326438
0,Bullish,0.03,0.04,110,0.5049786628733998,21793,3267.711191667049
0,Bullish,0.03,0.05,10,0.5332987244141204,26968,4056.9743770394543
0,Bullish,0.03,0.05,25,0.48133556192295446,25128,4075.6721585482333
0,Bullish,0.03,0.05,40,0.4050877475446788,18633,3815.241507003703
0,Bullish,0.03,0.05,65,0.46466638981173863,28896,3311.6654554263564
0,Bullish,0.03,0.05,80,0.5067639174615048,16041,3847.899133470482
0,Bullish,0.03,0.05,95,0.41318541063276226,20371,4193.624024348338
0,Bullish,0.03,0.05,110,0.44411949028619174,14361,4259.228465984263
0,Bullish,0.04,0.01,10,0.8281167915503083,72334,1012.4827881770675
0,Bullish,0.04,0.01,25,0.8289083695328304,63767,1026.0583844308185
0,Bullish,0.04,0.01,40,0.8104191340965916,60792,1067.3032635873142
0,Bullish,0.04,0.01,65,0.8081866186398108,81621,1043.575366633587
0,Bullish,0.04,0.01,80,0.7875702160302888,80822,1059.99072034842
0,Bullish,0.04,0.01,95,0.8029732160134774,87851,1022.020751044382
0,Bullish,0.04,0.01,110,0.7897004981693776,83305,1031.9750315107137
0,Bullish,0.04,0.02,10,0.6709019919264112,45333,1922.8543224582534
0,Bullish,0.04,0.02,25,0.6849493164320394,49227,1853.8012675970504
0,Bullish,0.04,0.02,40,0.6653801441525227,43010,1889.9541966984423
0,Bullish,0.04,0.02,65,0.7102822212760781,65764,1777.9988291466457
0,Bullish,0.04,0.02,80,0.6431987128875117,67127,1775.2822262278964
0,Bullish,0.04,0.02,95,0.6359141444453972,69978,1884.8745319957702
0,Bullish,0.04,0.02,110,0.6579125433477121,70938,1875.3953452310468
0,Bullish,0.04,0.03,10,0.633544235345014,36984,2603.0123837335063
0,Bullish,0.04,0.03,25,0.6076626479852286,36828,2751.4699413489734
0,Bullish,0.04,0.03,40,0.5762452602550845,46416,2400.5391459841435
0,Bullish,0.04,0.03,65,0.6093364913740678,62486,2354.487645232532
0,Bullish,0.04,0.03,80,0.5804561717352416,67080,2457.292113893858
0,Bullish,0.04,0.03,95,0.5966098526158352,64186,2476.0202380581436
0,Bullish,0.04,0.03,110,0.5914718753335468,56214,2606.416817874551
0,Bullish,0.04,0.04,10,0.6120142812575826,28849,3517.7567679988906
0,Bullish,0.04,0.04,25,0.5295778675340458,27977,3686.636522858062
0,Bullish,0.04,0.04,40,0.510236876562314,33604,3700.866265920724
0,Bullish,0.04,0.04,65,0.5305060222852741,53219,3227.458144647588
0,Bullish,0.04,0.04,80,0.6054563383368029,36508,3548.672345787225
0,Bullish,0.04,0.04,95,0.545326856674665,34174,3757.1405161818925
0,Bullish,0.04,0.04,110,0.5004465538799153,39189,4090.2440735920795
