,Unnamed: 0,Unnamed: 0.1,stoploss,takeprofit,nPCs,strategy,Min,Max,ROI%,nTrades,ROI%Validation,nTradesValidation
4272,45,45,0.01,0.01,10,Bullish,0.8000000000000003,0.8500000000000003,-0.08735517838304485,4292,,0
4273,2,2,0.03,0.04,110,Bullish,0.5,0.6500000000000001,-0.0873585612545548,1100,,0
4274,9,9,0.02,0.03,40,Bullish,0.5,1.0000000000000004,-0.08742774951465263,28330,0.16153607624740354,15909
4275,18,18,0.01,0.04,40,Bullish,0.55,1.0000000000000004,-0.08746086686615519,12081,-0.07612450972030453,15195
4276,12,12,0.05,0.03,65,Bullish,0.55,0.7000000000000002,-0.08768278552361823,1461,-1.0054580482702755,370
4277,53,53,0.05,0.05,95,Bullish,0.9000000000000004,1.0000000000000004,-0.08786811615977408,38930,0.4909337611189312,44051
4278,34,34,0.05,0.01,10,Bullish,0.7000000000000002,0.7500000000000002,-0.08793038239104525,3212,-0.044360865308653664,2673
4279,25,25,0.05,0.01,10,Bullish,0.6000000000000001,0.9500000000000004,-0.08793908472454208,35140,-0.055021634762957336,26534
4280,22,22,0.01,0.03,40,Bullish,0.6000000000000001,0.8000000000000003,-0.08793925858211532,2941,0.11517344863393755,1874
4281,45,45,0.02,0.05,95,Bullish,0.8000000000000003,0.8500000000000003,-0.08801665913597859,706,,0
4282,49,49,0.04,0.01,10,Bullish,0.8500000000000003,0.9000000000000004,-0.08802025273652575,7082,-0.0500717401626123,3075
4283,52,52,0.03,0.01,40,Bullish,0.9000000000000004,0.9500000000000004,-0.08813188304936771,7841,-0.12569253270318426,2301
4284,29,29,0.01,0.03,40,Bullish,0.6500000000000001,0.8000000000000003,-0.08823875393133092,2330,0.14065568037245205,1423
4285,2,2,0.03,0.01,10,Bullish,0.5,0.6500000000000001,-0.08824263744037435,16768,-0.024779977443305,3571
4286,15,15,0.04,0.03,40,Bullish,0.55,0.8500000000000003,-0.0882452803438545,13785,0.16587804734410844,12124
4287,42,42,0.01,0.01,10,Bullish,0.7500000000000002,0.9000000000000004,-0.08832051878923716,12554,,0
4288,42,42,0.01,0.01,10,Bullish,0.7500000000000002,0.9000000000000004,-0.08832051878923716,12554,,0
4289,39,39,0.01,0.05,95,Bullish,0.7000000000000002,1.0000000000000004,-0.08836324388798547,7392,,0
4290,31,31,0.02,0.02,40,Bullish,0.6500000000000001,0.9000000000000004,-0.08845536892961306,9604,-0.015775304470995316,6361
4291,13,13,0.03,0.01,110,Bullish,0.55,0.7500000000000002,-0.08859029406224751,5913,,0
4292,19,19,0.01,0.01,10,Bullish,0.6000000000000001,0.6500000000000001,-0.08859828359814736,4733,,0
4293,19,19,0.01,0.01,10,Bullish,0.6000000000000001,0.6500000000000001,-0.08859828359814736,4733,,0
4294,34,34,0.03,0.02,40,Bullish,0.7000000000000002,0.7500000000000002,-0.08861177322558607,1454,0.09189638302217544,1939
4295,36,36,0.01,0.05,110,Bullish,0.7000000000000002,0.8500000000000003,-0.08868073591855058,1105,,0
